jurisdiction,ordinance_enacted_year,effective_date,before_rate_raw,to_rate_raw,source
"Rockland, ME",2020.0,2024-01-01,14,15,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Seattle, WA",2014.0,2024-01-01,16.5,17.25,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Tucson, AZ",2021.0,2024-01-01,13.5,14.25,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Bellingham, WA",2023.0,2024-05-01,16.84,$1.00 above state minimum,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Chicago, IL tipped minimum wage",2023.0,2024-07-01,"60% of minimum wage
(40% of min wage tip credit)","68% of minimum wage
(32% of min wage tip credit)","UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Minneapolis, MN",2017.0,2024-07-01,14.5,same rate as large businesses,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Montgomery County, MD",2017.0,2024-07-01,14.5,15,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Renton, WA",2024.0,2024-07-01,16.28,match Tukwila minimum wage rate [$20.29],"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Renton, WA",2024.0,2024-07-01,,large business rate minus $2.00 [$18.29],"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Saint Paul, MN",2018.0,2024-07-01,15,same rate as macro businesses ,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Saint Paul, MN",2018.0,2024-07-01,13,14,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Saint Paul, MN",2018.0,2024-07-01,11.5,12.25,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Tukwila, WA",2022.0,2024-07-01,large business rate minus $2.00,large business rate minus $1.00,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Boulder County, CO",2023.0,2025-01-01,15.69,16.57,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Boulder, CO",2024.0,2025-01-01,14.42,15.57,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Burien, WA",2024.0,2025-01-01,17.25,$3.00 more than WA State min wage3,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Burien, WA",2024.0,2025-01-01,17.25,$2.00 more than WA State min wage3,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Edgewater, CO",2023.0,2025-01-01,15.02,16.52,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Howard County, MD",2021.0,2025-01-01,15,16,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Howard County, MD",2021.0,2025-01-01,14,14.75,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"King County, WA",2024.0,2025-01-01,17.25,20.2911,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"King County, WA",2024.0,2025-01-01,,$2.00 less than large employer,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"King County, WA",2024.0,2025-01-01,,$3.00 less than large employer,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Tucson, AZ",2021.0,2025-01-01,14.25,15,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Chicago, IL tipped minimum wage",2023.0,2025-07-01,"68% of minimum wage
(32% of min wage tip credit)","76% of minimum wage
(24% of min wage tip credit)","UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Everett, WA",2024.0,2025-07-01,16.66,20.24,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Everett, WA",2024.0,2025-07-01,,18.24,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Renton, WA",2024.0,2025-07-01,large business rate minus $2.00 [$18.29],large business rate minus $1.00,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Saint Paul, MN",2018.0,2025-07-01,14,15,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Saint Paul, MN",2018.0,2025-07-01,12.25,13.25,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Tukwila, WA",2022.0,2025-07-01,large business rate minus $1.00,same as large businesses,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Boulder County, CO",2023.0,2026-01-01,16.57,17.99,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Boulder, CO",2024.0,2026-01-01,15.57,16.82,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Edgewater, CO",2023.0,2026-01-01,16.52,18.17,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"Howard County, MD",2021.0,2026-01-01,14.75,15.5,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"King County, WA",2024.0,2026-01-01,$2.00 less than large employer,$1.00 less than large employer minimum wage,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
"King County, WA",2024.0,2026-01-01,$3.00 less than large employer,$2.50 less than large employer minimum wage,"UC Berkeley Labor Center, Inventory of US City and County Minimum Wage Ordinances (updated Dec. 2025)"
